Country_code,electricity,residential non-elec,services non-elec,rail non-elec,road non-elec,domestic navigation,international navigation,domestic aviation,international aviation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
FI,16.453366539999998,3.1477140599999998,2.47618078,0.1911011,10.80393276,0.44128593,1.83199523,0.38513885,1.0077297600000001,3.6822125,0.64739628,-18.43056332,0.0,0.0,0.16580883,15.903820470000007
CZ,54.58489821,18.374860530000003,9.907145270000001,0.76814579,10.2525584,0.05351835,0.0,0.13943891,0.5237209,15.646574399999999,1.29616,-5.77081298,0.02083381,0.0,1.8646168500000002,52.63635114000003
DK,24.697304,4.988080490000001,1.45970698,0.29674549,9.35659721,0.71444274,3.01229527,0.20479408000000002,1.77400144,1.27842181,0.6185729999999999,6.17279161,0.020309149999999998,0.0,1.13322597,5.131488189999996
PT,14.354840690000001,1.6399023,0.7044826399999999,0.17719189,10.00124006,0.26251703,1.3999681499999999,0.17781769,1.53267365,5.59709997,0.03386992,0.27184642000000003,0.00707365,0.0,0.08804313000000001,9.1942942
RO,66.27988645,8.4244172,0.0,0.45189864999999996,10.365545319999999,1.1513370399999998,0.0,0.02486842,0.79015917,24.37591059,0.18251157,-20.249672,0.0,0.0,0.0,57.23933828
AT,11.07937937,9.96308196,2.30045163,0.17797633999999998,13.328049429999998,0.0147922,0.04948028,0.03200273,0.88597299,10.87118623,0.05007664,-12.15659679,0.02791954,0.0,0.0,13.344331369999992
BG,35.178685120000004,2.88725718,3.11695761,0.32284629000000004,5.78044233,0.056419739999999996,0.182664,0.1351009,0.713284,8.360438700000001,0.045486809999999996,-19.56305755,0.01983452,0.0,0.0,19.89955789000001
EE,29.02660444,1.3378301799999999,0.0475399,0.15392831,2.22607147,0.02178658,0.55240204,0.005519110000000001,0.10675165,0.95783731,0.013110450000000001,-1.94512291,0.00225179,0.0,0.0,2.455604309999995
GR,40.616710160000004,4.65384672,0.51886311,0.19894266,11.79305967,1.8087091,8.10571635,0.32341932,2.47479,8.70038321,0.0604099,-2.17704304,0.00022015,0.0,0.0,4.170477799999993
LV,6.08262322,1.14346336,2.69569324,0.5367655499999999,2.4021552,0.00101445,1.51548877,6.536999999999999e-05,0.22114512,0.65098731,0.36484213,-11.214160009999999,0.00057466,0.0,0.040488039999999996,3.889312539999999
HU,17.8918835,15.79803896,2.7570882,0.5329836699999999,7.8263320400000005,0.20912883,0.0,0.0036998,0.50500305,8.172958249999999,0.38474671,-2.6794870299999998,0.09687855000000001,0.0,0.0,19.286112269999997
IE,10.87649,7.0518632,2.2318502400000004,0.13319132,4.69042381,0.08489987,0.05677574,0.04797992,1.07269182,2.24790834,0.45171301999999997,4.32685275,0.09558639,0.0,0.0,3.902954099999995
SK,14.70015191,6.77335716,4.1475092,0.37228856,4.50302419,2.248e-05,0.06457655,0.00373821,0.06707624,8.384903,0.06635306,-9.78267255,0.00215046,0.0,0.0,22.54831157
LT,12.00294991,2.3614626199999997,3.05875397,0.34997185999999997,5.247150410000001,0.015485480000000001,0.3021744,0.00815692,0.39890928000000003,3.47002058,0.05630111,-5.70982239,0.00265932,0.0,0.0,8.497819849999996
HR,3.72889153,2.02884306,0.85465183,0.14007851999999998,3.50587486,0.13438337,0.14723118,0.006601009999999999,0.49661612000000005,2.62201933,0.050019730000000005,-6.47076781,0.0005357,0.0,0.0,9.613503190000001
LU,0.03328747,0.66981598,0.63887744,0.02482326,2.56264023,0.00130465,7.818e-05,0.00021483,0.38601731,1.62890571,0.00025571,0.07992429,0.0,0.0,0.0,5.901414669999999
SI,6.09561117,0.80871372,0.50278621,0.06519283000000001,2.59970761,0.0,0.0,0.0010687899999999998,0.04887583,1.12883979,0.05266734,-4.41924778,0.00199546,0.0,0.0,3.78837961
CY,1.67577,0.299704,0.075212,0.0,1.18601054,0.002198,0.182788,0.026045000000000002,0.7180979999999999,0.72574496,0.001815,-0.21904222999999998,0.0,0.0,0.0,-0.23645543999999974
MT,1.7585151,0.09515697000000001,0.16459605,0.0,0.29959482000000004,0.02479246,0.89491532,0.0011955,0.19695695000000002,0.00512734,0.0,0.00296242,0.00037012,0.0,0.0,-1.0327572999999997
