country,year,electricity-only emissions incl autoprod
CY,2008,3.9672899999999998
CY,2009,3.99212752589551
CY,2010,3.867574191898756
CY,2011,3.7074267685524678
CY,2012,3.5433275458072173
CY,2013,2.826252746453059
CY,2014,2.9365522125370647
CY,2015,3.0187746378016542
CY,2016,3.295839984796655
CY,2017,3.2833918138841605
CY,2018,3.3379165938795046
CZ,1990,44.92787196404492
CZ,1991,43.9609302603581
CZ,1992,43.24678718404443
CZ,1993,43.21180583904465
CZ,1994,44.291107513116486
CZ,1995,47.647207724903026
CZ,1996,49.99368784142476
CZ,1997,46.43073739342206
CZ,1998,45.482155761075155
CZ,1999,43.54794111976506
CZ,2000,47.735848760911196
CZ,2001,49.10674239414461
CZ,2002,48.27220363086741
CZ,2003,48.36834483267462
CZ,2004,48.4518542250913
CZ,2005,49.06819295383794
CZ,2006,49.236836974808874
CZ,2007,53.05838154934283
CZ,2008,47.95942528196795
CZ,2009,45.146469509332675
CZ,2010,47.36923431108903
CZ,2011,47.44531844582487
CZ,2012,44.93052796528422
CZ,2013,42.170473892587616
CZ,2014,41.266050500195476
CZ,2015,41.0460446781469
CZ,2016,41.28434654732743
CZ,2017,39.47000797373519
CZ,2018,39.2637204384066
DE,1990,309.74423142307734
DE,1991,303.6084719020711
DE,1992,293.011460905328
DE,1993,284.2156942743861
DE,1994,285.53729219460905
DE,1995,284.7637233304977
DE,1996,295.5206731273524
DE,1997,284.1276613356163
DE,1998,288.80746752898773
DE,1999,280.53201495374424
DE,2000,296.7404248792894
DE,2001,311.27951322998086
DE,2002,312.1347746887433
DE,2003,321.9550639589523
DE,2004,316.78488492292144
DE,2005,311.1181241707962
DE,2006,313.93203219368297
DE,2007,321.55717350353075
DE,2008,305.1588176722156
DE,2009,283.76202238709686
DE,2010,293.3554824102472
DE,2011,291.42892594258643
DE,2012,306.5373261799089
DE,2013,309.49662803078513
DE,2014,294.0941405728456
DE,2015,282.44144792762614
DE,2016,277.8156426451568
DE,2017,257.3795677284768
DE,2018,242.00452468563464
DK,1990,18.799618494427524
DK,1991,26.601918155043144
DK,1992,21.418735225636144
DK,1993,22.08484682434076
DK,1994,25.862219153131477
DK,1995,21.949105312566818
DK,1996,32.779491736897675
DK,1997,24.615510638421004
DK,1998,21.1079495709117
DK,1999,18.481074815060058
DK,2000,15.97684727079981
DK,2001,16.62299815099898
DK,2002,16.844706658552823
DK,2003,21.054694671493355
DK,2004,15.8903324341462
DK,2005,13.223592033923845
DK,2006,20.259137712936425
DK,2007,16.464019356598477
DK,2008,14.540680191407047
DK,2009,14.61586025616432
DK,2010,14.056272336342433
