country,year,electricity-only emissions
EE,2009,9.080160367925243
EE,2010,13.215961480811274
EE,2011,13.183044398957154
EE,2012,11.634308208649278
EE,2013,13.344307183407723
EE,2014,12.482547838080936
EE,2015,9.594818594094619
EE,2016,10.955245153762325
EE,2017,11.847716399205549
EE,2018,10.820326976897688
ES,1990,64.03228081371792
ES,1991,64.63240331509282
ES,1992,72.06129767833524
ES,1993,66.12048428668588
ES,1994,63.81290080515466
ES,1995,67.4454255044587
ES,1996,55.67493030879189
ES,1997,66.65811455894469
ES,1998,65.81833591585088
ES,1999,77.35834663239889
ES,2000,83.64848030279973
ES,2001,79.01068400239531
ES,2002,91.61071135350187
ES,2003,84.5716352504944
ES,2004,93.03941705159741
ES,2005,102.2816122299893
ES,2006,93.37857800128165
ES,2007,99.1002819271056
ES,2008,82.49218311229161
ES,2009,67.42735883887893
ES,2010,52.189367845287954
ES,2011,63.94792718477966
ES,2012,68.6217699820616
ES,2013,51.71951764727957
ES,2014,56.6102913352509
ES,2015,66.24981712250917
ES,2016,52.292420055877884
ES,2017,60.896001824322404
ES,2018,52.25645724064763
FI,1990,12.311156433952034
FI,1991,12.326149279178267
FI,1992,12.05372039788841
FI,1993,14.093123666033467
FI,1994,17.6516612200797
FI,1995,15.746321545273855
FI,1996,19.983411766478635
FI,1997,17.98529426234525
FI,1998,15.338223903412164
FI,1999,14.875820835114041
FI,2000,13.544983399760808
FI,2001,17.628203834160377
FI,2002,19.28166666470671
FI,2003,24.827977044505058
FI,2004,21.722462052900074
FI,2005,13.10846657368034
FI,2006,21.2356005494528
FI,2007,19.831286137793718
FI,2008,14.854075479724608
FI,2009,15.889340961081935
FI,2010,19.655202282031787
FI,2011,15.306751016059033
FI,2012,12.371792023534821
FI,2013,13.579287584014043
FI,2014,12.673175998124854
FI,2015,10.601243815814385
FI,2016,11.965593252004718
FI,2017,10.727446723993852
FI,2018,11.706250311548919
FR,1990,46.00042472184623
FR,1991,47.047313390674006
FR,1992,48.4335686600215
FR,1993,37.27604582489032
FR,1994,33.548920461937044
FR,1995,36.08570219901619
FR,1996,40.10012363714405
FR,1997,36.10138395598125
FR,1998,47.73273047502049
FR,1999,42.62338488992416
FR,2000,41.88877955773178
FR,2001,35.676701854141136
FR,2002,39.543038908243105
FR,2003,42.810413921342715
FR,2004,41.56297358387846
FR,2005,46.09443925208881
FR,2006,42.20962979773332
FR,2007,42.21959612979379
FR,2008,41.525020406066474
FR,2009,41.18955228360006
FR,2010,43.1786472067155
FR,2011,35.73702526327532
FR,2012,38.729252176993576
FR,2013,39.23682541054391
FR,2014,27.193941800041856
FR,2015,29.63706615850109
FR,2016,32.9200460845062
FR,2017,37.34673768482224
FR,2018,30.339153776341696
GB,1990,189.76165374173175
GB,1991,185.94051579981306
GB,1992,173.9813458847332
GB,1993,157.22563468604739
GB,1994,155.09373618879107
GB,1995,151.5057369460628
GB,1996,150.67614691879257
GB,1997,137.5467475309823
GB,1998,142.35241733794993
GB,1999,128.56526193612706
GB,2000,137.6751720089198
GB,2001,148.06372536845527
GB,2002,142.95464723770905
GB,2003,152.0215300808863
GB,2004,150.3770231109468
GB,2005,149.93533474328532
GB,2006,157.50107509608088
GB,2007,152.9402921052644
GB,2008,148.0128751126623
GB,2009,128.6840182216194
GB,2010,134.49690607155006
